Category,Subcategory,Neurotransmitter_System,Mode_of_Action,Drug_Name,Classification_Type,PubChem_CID,ChEMBL_ID,DrugBank_ID,KEGG_Drug_ID,Molecular_Formula,Molecular_Weight,SMILES,InChI_Key,Target_Genes,Target_Proteins,Primary_Pathway,Secondary_Pathways,Half_Life_Hours,Bioavailability_Percent,Protein_Binding_Percent,Metabolism_Enzymes,Active_Metabolites,Common_Side_Effects,Serious_Side_Effects,FDA_Black_Box_Warning,Contraindications,Drug_Interactions,Pregnancy_Category,Generic_Available,Brand_Names
Antidepressant,MAOI,"Serotonin, Norepinephrine, Dopamine",Enzyme inhibitor (MAO-A and -B),Isocarboxazid,Former_Terminology,3759,CHEMBL710,DB01247,D04022,C12H13N3O2,231.25,O=C(NN=CC1=CC=CN=C1)C2=CC=CC=C2,QXKHYNVANLEOEG-UHFFFAOYSA-N,"MAOA,MAOB","MAO-A,MAO-B",Monoamine metabolism inhibition,Tyramine sensitivity,Unknown,Unknown,Unknown,"MAO-A,MAO-B",Unknown,"Dizziness,drowsiness,dry mouth,constipation,weight gain","Hypertensive crisis,hepatotoxicity,serotonin syndrome",None,"Tyramine-rich foods,sympathomimetics","Tyramine foods,SSRIs,meperidine,dextromethorphan",C,Yes,Marplan
Antidepressant,MAOI,"Serotonin, Norepinephrine, Dopamine",Enzyme inhibitor (MAO-A and -B),Phenelzine,Former_Terminology,8156,CHEMBL713,DB00780,D05196,C8H12N2,136.19,NNCCC1=CC=CC=C1,NLXLAEXBQURYLA-UHFFFAOYSA-N,"MAOA,MAOB","MAO-A,MAO-B",Monoamine metabolism inhibition,Tyramine sensitivity,11-12,>90,Unknown,"MAO-A,MAO-B",Phenylethylhydrazine,"Dizziness,drowsiness,dry mouth,constipation,weight gain","Hypertensive crisis,hepatotoxicity,serotonin syndrome",None,"Tyramine-rich foods,sympathomimetics","Tyramine foods,SSRIs,meperidine,dextromethorphan",C,Yes,Nardil
Antidepressant,MAOI,"Serotonin, Norepinephrine, Dopamine",Reversible enzyme inhibitor (MAO-A),Moclobemide,Former_Terminology,4235,CHEMBL710,DB01171,D01926,C13H17ClN2O2,268.74,CCN(CC)C(=O)C1=CC=C(Cl)C=C1NC2=CC=CC=C2,YTGJNHQVEORIIQ-UHFFFAOYSA-N,MAOA,MAO-A,Monoamine metabolism inhibition,Tyramine sensitivity (reduced),1-2,80-90,50,"CYP2C19,CYP2D6",None active,"Nausea,headache,dizziness,insomnia,dry mouth","Serotonin syndrome,hypertensive crisis (rare)",None,"SSRIs,pethidine","SSRIs,sympathomimetics,cimetidine",B,Yes,Aurorix
Antidepressant,MAOI,"Serotonin, Norepinephrine, Dopamine","Enzyme inhibitor (MAO-A and -B), releaser (DA, NE)",Tranylcypromine,Former_Terminology,441233,CHEMBL713,DB00752,D08636,C9H11N,133.19,NCC1CC2CC1C2,IWZZBBJTIUGMAQ-UHFFFAOYSA-N,"MAOA,MAOB","MAO-A,MAO-B",Monoamine metabolism inhibition,"Tyramine sensitivity,neurotransmitter release",2.5,50,Unknown,"MAO-A,MAO-B",Unknown,"Dizziness,drowsiness,dry mouth,constipation,insomnia","Hypertensive crisis,hepatotoxicity,serotonin syndrome",None,"Tyramine-rich foods,sympathomimetics","Tyramine foods,SSRIs,meperidine,dextromethorphan",C,Yes,Parnate
Antidepressant,MAOI,"Dopamine, Norepinephrine, Serotonin",Enzyme inhibitor (MAO-B and -A),Selegiline,Former_Terminology,26757,CHEMBL972,DB01037,D07453,C13H17N,187.28,CC(CC#CC1=CC=CC=C1)N(C)C,MEZLKOACVSPNER-GFCCVEGCSA-N,"MAOB,MAOA","MAO-B,MAO-A",Monoamine metabolism inhibition,Dopamine metabolism,17-20.5,73,>90,CYP2B6,"L-amphetamine,L-methamphetamine","Nausea,dizziness,abdominal pain,dry mouth,headache","Hypertensive crisis,serotonin syndrome,dyskinesia",None,"Meperidine,tramadol,dextromethorphan","Opioids,SSRIs,tricyclics",C,Yes,Eldepryl
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Citalopram,Former_Terminology,2771,CHEMBL1455,DB00215,D07704,C20H21FN2O,324.39,CN(C)CCC[C@]1(C2=CC=CC=C2C#N)CCC2=C(O1)C=C(F)C=C2,WSEQXVZVJXJVFP-FQEVSTJZSA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,35,>80,80,"CYP2C19,CYP3A4,CYP2D6",N-desmethylcitalopram,"Nausea,dry mouth,somnolence,insomnia,sweating","QT prolongation,serotonin syndrome,suicidal ideation",Suicidal thoughts in patients <25,"QT prolongation,MAOIs","QT prolonging drugs,MAOIs,linezolid",C,Yes,Celexa
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Escitalopram,Former_Terminology,146570,CHEMBL1508,DB01175,D02567,C20H21FN2O,324.39,CN(C)CCC[C@]1(C2=CC=CC=C2C#N)CCC2=C(O1)C=C(F)C=C2,WSEQXVZVJXJVFP-FQEVSTJZSA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,30-32,>80,56,"CYP2C19,CYP3A4,CYP2D6",S-desmethylcitalopram,"Nausea,insomnia,ejaculation disorder,somnolence,sweating","QT prolongation,serotonin syndrome,suicidal ideation",Suicidal thoughts in patients <25,"QT prolongation,MAOIs","QT prolonging drugs,MAOIs,citalopram",C,Yes,Lexapro
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Fluoxetine,Former_Terminology,3386,CHEMBL280,DB00472,D00326,C17H18F3NO,309.33,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,96-144,>90,95,"CYP2D6,CYP3A4,CYP2C9",Norfluoxetine,"Nausea,headache,insomnia,sexual dysfunction,dry mouth","Serotonin syndrome,suicidal ideation,bleeding,mania",Suicidal thoughts in patients <25,Monoamine oxidase inhibitors,"Warfarin,phenytoin,lithium,MAOIs",C,Yes,Prozac
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Fluvoxamine,Former_Terminology,5324346,CHEMBL1011,DB00176,D02376,C15H21F3N2O2,318.34,COCCCCN[C@@H](C)CCC1=CC=C(CF)C=C1,CJOFXWAVKWHTFT-XSFVSMFZSA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,13-15,>90,77,"CYP1A2,CYP2D6",None active,"Nausea,insomnia,somnolence,anorexia,asthenia","Serotonin syndrome,hepatotoxicity,suicidal ideation",Suicidal thoughts in patients <25,"MAOIs,liver impairment","MAOIs,theophylline,warfarin,clozapine",C,Yes,Luvox
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Paroxetine,Former_Terminology,43815,CHEMBL420,DB00715,D05458,C19H20FNO3,329.37,FC1=CC=C(C[C@@H]2CCNC3=C2C=C(OC(=O)C4CC4)C=C3)C=C1,AHOUBRAXHOWWBT-JTQLQIEISA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,15-20,>95,93-95,CYP2D6,None active,"Nausea,somnolence,insomnia,asthenia,sexual dysfunction","Serotonin syndrome,withdrawal syndrome,suicidal ideation",Suicidal thoughts in patients <25,"MAOIs,pregnancy","MAOIs,tamoxifen,warfarin,phenytoin",D,Yes,Paxil
Antidepressant,SSRI,Serotonin,Reuptake inhibitor (SERT),Sertraline,Former_Terminology,68617,CHEMBL809,DB01104,D00825,C17H17Cl2N,306.23,[H][C@@]1(CC[C@@]([H])(C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12)NC,BBNSZNYWTJXNFJ-GJZGRUSLSA-N,SLC6A4,SERT,Serotonin neurotransmission,cAMP signaling,22-36,>90,98,"CYP2B6,CYP2C19,CYP2C9,CYP2D6,CYP3A4",N-desmethylsertraline,"Nausea,diarrhea,insomnia,sexual dysfunction,tremor","Serotonin syndrome,suicidal ideation,bleeding",Suicidal thoughts in patients <25,Monoamine oxidase inhibitors,"Warfarin,digoxin,lithium,MAOIs",C,Yes,Zoloft
Antidepressant,SNRI,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Venlafaxine,Former_Terminology,5656,CHEMBL637,DB00285,D06217,C17H27NO2,277.4,CNCC(C1=CC(OC)=CC=C1)C2(O)CCCCC2,PNVNVHUZROJLTJ-UHFFFAOYSA-N,"SLC6A4,SLC6A2","SERT,NET",Serotonin/norepinephrine neurotransmission,cAMP/cGMP signaling,5,45,27,"CYP2D6,CYP3A4",O-desmethylvenlafaxine,"Nausea,somnolence,dry mouth,dizziness,constipation","Hypertension,serotonin syndrome,suicidal ideation",Suicidal thoughts in patients <25,"MAOIs,uncontrolled hypertension","MAOIs,linezolid,methylene blue",C,Yes,Effexor
Antidepressant,SNRI,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Duloxetine,Former_Terminology,60835,CHEMBL1252,DB00476,D04492,C18H19NOS,297.42,CNCCC(C1=CC=CS1)C2=CC=CC=C2O,ZEUITGRIYCTCEM-KRXBUXKQSA-N,"SLC6A4,SLC6A2","SERT,NET",Serotonin/norepinephrine neurotransmission,cAMP/cGMP signaling,8-17,>90,>90,"CYP1A2,CYP2D6",None active,"Nausea,dry mouth,somnolence,fatigue,constipation","Hepatotoxicity,serotonin syndrome,suicidal ideation",Suicidal thoughts in patients <25,"MAOIs,liver disease","MAOIs,fluvoxamine,ciprofloxacin",C,Yes,Cymbalta
Antidepressant,SNRI,"Serotonin, Norepinephrine",Reuptake inhibitor (SERT and NET),Milnacipran,Former_Terminology,65833,CHEMBL1236,DB04896,D01179,C15H22N2O,246.35,CN(C)CC[C@]1(c2cccc(C(F)(F)F)c2)CCC[C@H]1CO,GJJFMKBJSRMPLA-HIFRSBDPSA-N,"SLC6A4,SLC6A2","SERT,NET",Serotonin/norepinephrine neurotransmission,cAMP/cGMP signaling,6-8,85-90,13,Not extensively metabolized,None active,"Nausea,headache,constipation,dizziness,insomnia","Hypertension,serotonin syndrome,suicidal ideation",Suicidal thoughts in patients <25,"MAOIs,uncontrolled hypertension","MAOIs,epinephrine,norepinephrine",C,Yes,Savella
Stimulants,,"Dopamine, Norepinephrine","Reuptake inhibitors (DAT,NET) and releaser (DA,NA)",Amphetamine (D),Former_Terminology,3007,CHEMBL405,DB00182,D07445,C9H13N,135.21,CC(N)CC1=CC=CC=C1,KWTSXDURSIMDCE-QMMMGPOBSA-N,"SLC6A3,SLC6A2,SLC6A4","DAT,NET,SERT",Dopamine/norepinephrine neurotransmission,"cAMP signaling,vesicular transport",9-14,>90,20,CYP2D6,Amphetamine,"Decreased appetite,insomnia,dry mouth,weight loss","Cardiovascular effects,growth suppression,psychosis",CNS stimulants have high potential for abuse and dependence,"Advanced arteriosclerosis,symptomatic cardiovascular disease","MAOIs,acidifying agents,alkalinizing agents",C,Yes,Dexedrine
Stimulants,,"Dopamine, Norepinephrine","Reuptake inhibitors (DAT,NET) and releaser (DA,NA)","Amphetamine (D,L)",Former_Terminology,3007,CHEMBL405,DB00182,D07445,C9H13N,135.21,CC(N)CC1=CC=CC=C1,KWTSXDURSIMDCE-QMMMGPOBSA-N,"SLC6A3,SLC6A2,SLC6A4","DAT,NET,SERT",Dopamine/norepinephrine neurotransmission,"cAMP signaling,vesicular transport",9-14,>90,20,CYP2D6,Amphetamine,"Decreased appetite,insomnia,dry mouth,weight loss","Cardiovascular effects,growth suppression,psychosis",CNS stimulants have high potential for abuse and dependence,"Advanced arteriosclerosis,symptomatic cardiovascular disease","MAOIs,acidifying agents,alkalinizing agents",C,Yes,Adderall
Stimulants,,"Dopamine, Norepinephrine","Reuptake inhibitors (DAT,NET) and releaser (DA,NA)",Lisdexamfetamine,Former_Terminology,11707110,CHEMBL1200469,DB01255,D07791,C15H25N3O,263.38,NCCCCCCNC(=O)C(N)CC1=CC=CC=C1,VOBHXZCDAVEXEY-VIFPVBQESA-N,"SLC6A3,SLC6A2","DAT,NET",Dopamine/norepinephrine neurotransmission,"Lysine cleavage,cAMP signaling",<1 (prodrug),>96,Unknown,Red blood cells,Dextroamphetamine,"Decreased appetite,insomnia,upper abdominal pain,irritability","Cardiovascular effects,growth suppression,psychosis",CNS stimulants have high potential for abuse and dependence,"Advanced arteriosclerosis,symptomatic cardiovascular disease","MAOIs,acidifying agents,alkalinizing agents",C,Yes,Vyvanse
Stimulants,,"Dopamine, Norepinephrine","Reuptake inhibitors (DAT,NET) and releaser (DA,NA)",Methylphenidate (D),Former_Terminology,4158,CHEMBL796,DB00422,D01296,C14H19NO2,233.31,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,"SLC6A3,SLC6A2,DRD4,DRD2","DAT,NET,D4,D2 receptors",Dopamine/norepinephrine neurotransmission,"cAMP signaling,calcium channels",2-3,11-1,15,CES1,Ritalinic acid (inactive),"Decreased appetite,insomnia,abdominal pain,headache","Growth suppression,cardiovascular effects,psychosis",CNS stimulants have high potential for abuse and dependence,"Advanced arteriosclerosis,symptomatic cardiovascular disease","MAOIs,antihypertensives,anticoagulants",C,Yes,Focalin
Stimulants,,"Dopamine, Norepinephrine","Reuptake inhibitors (DAT,NET) and releaser (DA,NA)","Methylphenidate (D,L)",Former_Terminology,4158,CHEMBL796,DB00422,D01296,C14H19NO2,233.31,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,"SLC6A3,SLC6A2,DRD4,DRD2","DAT,NET,D4,D2 receptors",Dopamine/norepinephrine neurotransmission,"cAMP signaling,calcium channels",2-3,11-1,15,CES1,Ritalinic acid (inactive),"Decreased appetite,insomnia,abdominal pain,headache","Growth suppression,cardiovascular effects,psychosis",CNS stimulants have high potential for abuse and dependence,"Advanced arteriosclerosis,symptomatic cardiovascular disease","MAOIs,antihypertensives,anticoagulants",C,Yes,Ritalin
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Fluphenazine,Former_Terminology,3372,CHEMBL785,DB00623,D04097,C22H26F3N3OS,437.52,CCN(CC)CCCN1C2=CC=CC=C2SC3=CC=C(C(F)(F)F)C=C13,PLDAQRDNLSRFFS-UHFFFAOYSA-N,"DRD2,DRD3,DRD4","D2,D3,D4 receptors",Dopamine neurotransmission,Extrapyramidal system,14.2-58.1,Variable,>90,CYP2D6,7-hydroxyfluphenazine,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Prolixin
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Haloperidol,Former_Terminology,3559,CHEMBL54,DB00502,D00136,C21H23ClFNO2,375.86,OC(CCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C3=CC=C(F)C=C3,FNDLEGDNHQJGSZ-UHFFFAOYSA-N,"DRD2,DRD3,DRD4","D2,D3,D4 receptors",Dopamine neurotransmission,Extrapyramidal system,14.5-36.7,40-75,92,"CYP3A4,CYP2D6",Reduced haloperidol,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Haldol
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Perphenazine,Former_Terminology,4748,CHEMBL11,DB00850,D08313,C21H26ClN3OS,403.97,CCN(CC)CCCN1C2=CC=CC=C2SC3=CC(Cl)=CC=C13,HDTRYLNUVZCQOY-UHFFFAOYSA-N,"DRD2,DRD3,DRD4","D2,D3,D4 receptors",Dopamine neurotransmission,Extrapyramidal system,9.4-14.3,32-40,91-99,CYP2D6,7-hydroxyperphenazine,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Trilafon
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Pimozide,Former_Terminology,16362,CHEMBL2109,DB01100,D01617,C28H29F2N3O,461.55,FC1=CC=C(C2CCN(CC2)C(=O)C3=CC(F)=C(N4C5=CC=CC=C5CC4)C=C3)C=C1,YVRGOYISAHTYKZ-UHFFFAOYSA-N,"DRD2,DRD3,DRD4","D2,D3,D4 receptors",Dopamine neurotransmission,Extrapyramidal system,55,50,99.97,"CYP3A4,CYP1A2",Unknown,"Extrapyramidal symptoms,QT prolongation,sedation","Tardive dyskinesia,neuroleptic malignant syndrome,cardiac arrhythmias",Increased mortality in dementia-related psychosis,"QT prolongation,CNS depression","QT prolonging drugs,CYP3A4 inhibitors",C,Yes,Orap
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Sulpiride,Former_Terminology,5355,CHEMBL21,DB00391,D01226,C15H23N3O4S,341.43,CCN1CCCC1CNC(=O)C2=CC(S(=O)(=O)N)=C(OC)C=C2OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,"DRD2,DRD3","D2,D3 receptors",Dopamine neurotransmission,Extrapyramidal system,6-8,25-35,40,Renal,None active,"Extrapyramidal symptoms,galactorrhea,gynecomastia","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics",C,Yes,Dogmatil
Antipsychotic,Typical (1st generation),Dopamine,Receptor antagonist (D2),Zuclopenthixol,Former_Terminology,5311507,CHEMBL1201219,DB01624,D08690,C22H25ClN2OS,400.97,CN(C)CCC=C1C2=CC(Cl)=CC=C2SC3=CC=CC=C13,WQNBHEXHPTJYNU-UHFFFAOYSA-N,"DRD2,DRD3,DRD4","D2,D3,D4 receptors",Dopamine neurotransmission,Extrapyramidal system,20,49,98,CYP2D6,N-dealkylzuclopenthixol,"Extrapyramidal symptoms,sedation,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression","CNS depressants,anticholinergics,lithium",C,Yes,Clopixol
Antipsychotic,Typical (1st generation),"Dopamine, Serotonin","Receptor antagonist (D2, 5-HT2)",Chlorpromazine,Former_Terminology,2726,CHEMBL71,DB00477,D00270,C17H19ClN2S,318.86,CN(C)CCCN1C2=CC=CC=C2SC3=CC(Cl)=CC=C13,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,"DRD2,HTR2A,ADRA1A,HRH1","D2,5-HT2A,α1,H1 receptors",Dopamine/serotonin neurotransmission,"Adrenergic,histaminergic",30,32,95,CYP2D6,7-hydroxychlorpromazine,"Extrapyramidal symptoms,sedation,hypotension,anticholinergic effects","Tardive dyskinesia,neuroleptic malignant syndrome,agranulocytosis",Increased mortality in dementia-related psychosis,"Parkinson's disease,CNS depression,bone marrow depression","CNS depressants,anticholinergics,lithium",C,Yes,Thorazine
