root	section	doc_type	variant	symlink	symlink_target	size_kb	status	date	tags	title	path
docs	04-Engineering	engineering	primary	no		11.4				Claude Design Brief: Phone Template (Delta)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/template_phone_delta.md
docs	04-Engineering	engineering	primary	no		16.5				Claude Design Brief: Cytognosis Interface Templates (General)	repos/cytognosis/docs/04-Engineering/interface_and_fabric_design/claude_design_briefs/templates_general_brief.md
docs	04-Engineering	engineering	primary	no		11.1	Active	2026-06-14	yar, system-doc, architecture	Yar — System Doc	repos/cytognosis/docs/04-Engineering/yar/yar-system-doc.md
docs	04-Engineering	engineering	primary	no		8.5				Anytype API & MCP Reference for Yar	repos/cytognosis/docs/04-Engineering/yar/integrations/anytype_api_reference.md
docs	04-Engineering	engineering	primary	no		3.8				Anytype Integration Refactor Plan	repos/cytognosis/docs/04-Engineering/yar/integrations/anytype_refactor_plan.md
docs	04-Engineering	engineering	primary	no		12.9	Active	2026-06-14	yar, refactor, plan	07 — Yar Refactor — Plan & Reasoning	repos/cytognosis/docs/04-Engineering/yar/refactor/plan-prose.md
docs	04-Engineering	engineering	primary	no		3.5	Active	2026-06-14	yar, refactor, architecture	07 — Yar + CAP — Open Questions	repos/cytognosis/docs/04-Engineering/yar/refactor/open-questions.md
docs	04-Engineering	engineering	primary	no		4.8	Active	2026-06-14	yar, refactor, verification	07 — Yar + CAP — Verification	repos/cytognosis/docs/04-Engineering/yar/refactor/verification.md
docs	04-Engineering	engineering	primary	no		12.6	Active	2026-06-14	yar, refactor, checklist	07 — Yar + CAP — Execution Checklist	repos/cytognosis/docs/04-Engineering/yar/refactor/checklist.md
docs	04-Engineering	engineering	primary	no		3.7	✅ Complete (core structure), remaining items: REST route wiring, live tests			Phase 1: Anytype Submodule Refactor Report	repos/cytognosis/docs/04-Engineering/yar/reports/02_anytype_refactor.md
docs	04-Engineering	engineering	primary	no		2.3	5/7 complete			Phase 0: Audit & Cleanup Report	repos/cytognosis/docs/04-Engineering/yar/reports/01_audit_cleanup.md
docs	04-Engineering	engineering	primary	no		6.9	✅ Complete			Phase 2: CAP Consolidation Report	repos/cytognosis/docs/04-Engineering/yar/reports/03_cap_consolidation.md
docs	04-Engineering	engineering	primary	no		4.8				Sensor Documentation Consolidation — Walkthrough	repos/cytognosis/docs/04-Engineering/yar/sensors/walkthrough.md
docs	04-Engineering	engineering	primary	no		17.7				Models: Schemas, Frameworks, and Ontologies	repos/cytognosis/docs/04-Engineering/yar/sensors/ml-models.md
docs	04-Engineering	readme	primary	no		4.4				Cytonome Sensor Documentation — Yar's Sensing Component	repos/cytognosis/docs/04-Engineering/yar/sensors/README.md
docs	04-Engineering	engineering	primary	no		11.5				Consolidated Sensor Documentation and Semantic Alignment	repos/cytognosis/docs/04-Engineering/yar/sensors/implementation-plan.md
docs	04-Engineering	engineering	primary	no		87.7	v0.1 (Design Specification)	2026-05-30		Implementing Health Instruments in Cytonome	repos/cytognosis/docs/04-Engineering/yar/sensors/implementing-health-instruments.md
docs	04-Engineering	engineering	primary	no		79.0	v0.1 (Implementation Guide)	2026-05-30		Implementing AWARE Sensor Data Gathering	repos/cytognosis/docs/04-Engineering/yar/sensors/implementing-aware.md
docs	04-Engineering	engineering	primary	no		82.9				Implementing Wearable Sensor Integration: Oura Ring and Fitbit	repos/cytognosis/docs/04-Engineering/yar/sensors/implementing-wearables.md
docs	04-Engineering	engineering	primary	no		1.5				Sensor Documentation Consolidation	repos/cytognosis/docs/04-Engineering/yar/sensors/task-tracker.md
docs	04-Engineering	readme	primary	no		1.9				Yar research (tool and technology evaluations)	repos/cytognosis/docs/04-Engineering/yar/research/README.md
docs	04-Engineering	engineering	primary	no		14.1				Feature Comparison: Leantime vs Super Productivity vs Yar	repos/cytognosis/docs/04-Engineering/yar/research/feature_comparison_leantime_vs_sp.md
docs	04-Engineering	engineering	primary	no		15.4				Open-Source ADHD Tool Codebase Analysis	repos/cytognosis/docs/04-Engineering/yar/research/codebase-analysis.md
docs	04-Engineering	engineering	primary	no		20.8	Draft	2026-05-17		Voice Model Deep Evaluation — Supervisor Control, Nonverbal Understanding, & Clinical Recording	repos/cytognosis/docs/04-Engineering/yar/research/voice_model_deep_evaluation.md
docs	04-Engineering	evaluation	primary	no		4.8	Active	2026-05-29	research, evaluation		repos/cytognosis/docs/04-Engineering/yar/research/EVAL-tiledb.md
docs	04-Engineering	evaluation	primary	no		11.1	Active	2026-05-29	yar, competitive, features, comparison	⚡ Feature Comparison: Leantime vs Super Productivity vs Yar	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-leantime-vs-super-productivity.md
docs	04-Engineering	evaluation	primary	no		17.8	Active	2026-05-29	yar, competitive, tana, evaluation		repos/cytognosis/docs/04-Engineering/yar/research/EVAL-tana.md
docs	04-Engineering	evaluation	primary	no		16.0	Active	2026-05-29	research, evaluation	⚡ LaminDB, LaminHub & scDataLoader: Deep Analysis	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-lamindb.md
docs	04-Engineering	engineering	primary	no		43.0	Research Document	2026-05-24		Biological Model Zoos and Registries: Deep Analysis for LEGO Registry Design	repos/cytognosis/docs/04-Engineering/yar/research/bio-model-zoos-research.md
docs	04-Engineering	engineering	primary	no		44.8	Living synthesis document	2026-05-31		ADHD Task Management Paper Synthesis — Mapping Chen, Meng & Nie (2026) to Yar	repos/cytognosis/docs/04-Engineering/yar/research/adhd-paper-synthesis.md
docs	04-Engineering	evaluation	primary	no		15.5	Active	2026-05-29	yar, voice, evaluation, asr, tts	⚡ Voice Model Deep Evaluation	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-voice-models.md
docs	04-Engineering	engineering	primary	no		9.8	Research Evaluation	2026-05-17		ElevenLabs Platform Evaluation for Cytonome	repos/cytognosis/docs/04-Engineering/yar/research/elevenlabs_evaluation.md
docs	04-Engineering	engineering	primary	no		45.3	Comprehensive analysis for integration assessment	2026-05-24		LaminDB, LaminHub, and scDataLoader: Deep Analysis for Cytognosis	repos/cytognosis/docs/04-Engineering/yar/research/lamindb-deep-analysis.md
docs	04-Engineering	engineering	primary	no		51.8	Complete			Solid Pods Ecosystem: Comprehensive Research for Cytognosis	repos/cytognosis/docs/04-Engineering/yar/research/solid-pods-comprehensive.md
docs	04-Engineering	evaluation	primary	no		47.1	Active	2026-05-29	yar, competitive, omi, evaluation		repos/cytognosis/docs/04-Engineering/yar/research/EVAL-omi-ai.md
docs	04-Engineering	engineering	primary	no		44.9				Capacities.io Deep Dive: Feature Analysis and Yar Mapping	repos/cytognosis/docs/04-Engineering/yar/research/capacities-deep-dive.md
docs	04-Engineering	evaluation	primary	no		32.4	Active	2026-05-29	research, evaluation		repos/cytognosis/docs/04-Engineering/yar/research/EVAL-blue-lin-projects.md
docs	04-Engineering	engineering	primary	no		22.5	Active	2026-05-17	cap, yar, multi-agent, authority-protocol, knowledge-graph, refactor	CAP & Yar — Comprehensive Technical Reference	repos/cytognosis/docs/04-Engineering/yar/research/cap_yar_comprehensive_reference.md
docs	04-Engineering	evaluation	primary	no		9.2	Active	2026-05-29	yar, tts, evaluation, elevenlabs	⚡ ElevenLabs Platform Evaluation for Cytonome	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-elevenlabs.md
docs	04-Engineering	engineering	primary	no		53.0				OMI AI Deep Dive: Open-Source Wearable Memory Platform and Yar Mapping	repos/cytognosis/docs/04-Engineering/yar/research/omi-ai-deep-dive.md
docs	04-Engineering	evaluation	primary	no		19.4	Active	2026-05-29	research, evaluation	⚡ Biological Model Zoos: Analysis for LEGO Registry Design	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-bio-model-zoos.md
docs	04-Engineering	engineering	primary	no		34.7				Tana Outliner Deep Dive: Feature Analysis and Yar Mapping	repos/cytognosis/docs/04-Engineering/yar/research/tana-outliner-deep-dive.md
docs	04-Engineering	evaluation	primary	no		17.1	Active	2026-06-14	yar, adhd, research, task-management, feature-prioritization	"Research Synthesis: ""Not Just Me and My To-Do List"""	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-adhd-task-management-paper.md
docs	04-Engineering	engineering	primary	no		43.2				Letterly Deep Dive: AI Voice-to-Text for Neurodivergent Writers	repos/cytognosis/docs/04-Engineering/yar/research/letterly-deep-dive.md
docs	04-Engineering	engineering	primary	no		37.8	Active	2026-06-14	yar, substrate, research, decision	Yar substrate decision report	repos/cytognosis/docs/04-Engineering/yar/research/yar-substrate-decision.md
docs	04-Engineering	engineering	primary	no		29.6				TileDB Cloud Analysis: Architecture, Data Ingestion, and Compute Infrastructure	repos/cytognosis/docs/04-Engineering/yar/research/tiledb-cloud-analysis.md
docs	04-Engineering	engineering	primary	no		57.1				Blue (Georgianna) Lin: Projects Deep Dive — Design Inspiration for Yar	repos/cytognosis/docs/04-Engineering/yar/research/blue-lin-projects-deep-dive.md
docs	04-Engineering	evaluation	primary	no		29.3	Active	2026-05-29	yar, competitive, letterly, evaluation	🎙️ Letterly Deep Dive: AI Voice-to-Text for ND Writers	repos/cytognosis/docs/04-Engineering/yar/research/EVAL-letterly.md
docs	04-Engineering	evaluation	primary	no		21.2	Active	2026-05-29	yar, competitive, capacities, evaluation		repos/cytognosis/docs/04-Engineering/yar/research/EVAL-capacities.md
docs	04-Engineering	engineering	archive	no		31.7				Yar Unified Feature Comparison v3: 12-Tool Neurodivergent Cognitive Companion Analysis	repos/cytognosis/docs/04-Engineering/yar/research/_archive/yar-unified-feature-comparison-v3.md
docs	04-Engineering	engineering	archive	no		32.7				Yar Unified Feature Comparison: Neurodivergent-Friendly Cognitive Companions	repos/cytognosis/docs/04-Engineering/yar/research/_archive/yar-unified-feature-comparison.md
docs	04-Engineering	engineering	archive	no		13.7				🧠 Yar Tool Comparison: The ADHD-Friendly Version	repos/cytognosis/docs/04-Engineering/yar/research/_archive/yar-unified-feature-comparison-adhd.md
docs	04-Engineering	engineering	primary	no		8.9	Active	2026-05-25	standards, documentation, lifecycle, obsidian-vault	Cytognosis Documentation Standards and Lifecycle Framework	repos/cytognosis/docs/04-Engineering/standards/documentation-standards.md
docs	04-Engineering	engineering	primary	no		5.1				Cytos Standards Reference	repos/cytognosis/docs/04-Engineering/standards/coding-standards.md
docs	04-Engineering	engineering	primary	no		13.8	Active	2026-06-14	cytonome, architecture, cross-system	Cytognosis Cross-System Architecture	repos/cytognosis/docs/04-Engineering/architecture/cross-system-architecture.md
docs	04-Engineering	engineering	primary	no		2.1				Scholarly Extraction & Grant Harmonization Pipeline	repos/cytognosis/docs/04-Engineering/cytos/scholarly-extraction.md
docs	04-Engineering	engineering	primary	no		54.4				Cytos–Neuros Architectural Separation	repos/cytognosis/docs/04-Engineering/cytos/cytos-neuros-separation.md
docs	04-Engineering	engineering	primary	no		4.3				Cytos pillar — technical reference	repos/cytognosis/docs/04-Engineering/cytos/cytos-pillar.md
docs	04-Engineering	readme	primary	no		3.8				Cytos (Cytoverse engineering platform) — layer index	repos/cytognosis/docs/04-Engineering/cytos/README.md
docs	04-Engineering	engineering	primary	no		9.4				Playbook Chapter to Cytos Module Map	repos/cytognosis/docs/04-Engineering/cytos/03_chapter_to_module_map.md
docs	04-Engineering	engineering	primary	no		8.6				Genomic Atlas Interface	repos/cytognosis/docs/04-Engineering/cytos/genomic-atlas.md
docs	04-Engineering	engineering	agent	no		3.5				Cytos pillar — agent brief	repos/cytognosis/docs/04-Engineering/cytos/cytos-pillar_prompt.md
docs	04-Engineering	engineering	primary	no		10.1				Genomic Standards and Protocols	repos/cytognosis/docs/04-Engineering/cytos/genomic-standards.md
docs	04-Engineering	engineering	primary	no		3.4				End-to-End Platform Validation & Tutorial Generation	repos/cytognosis/docs/04-Engineering/cytos/e2e-platform-validation.md
docs	04-Engineering	engineering	primary	no		23.2		2026-05-26 · **Status**: ANALYSIS — Awaiting review		VFS Enhancement, Container Strategy, and Database Benchmarking	repos/cytognosis/docs/04-Engineering/cytos/vfs-containers-databases-analysis.md
docs	04-Engineering	engineering	primary	no		7.7				Verification Matrix — Implementation Plan v3	repos/cytognosis/docs/04-Engineering/cytos/validation-report.md
docs	04-Engineering	engineering	primary	no		40.4				Experiment Management Interface: Design and Tool Analysis	repos/cytognosis/docs/04-Engineering/cytos/experiment-management-interface.md
docs	04-Engineering	engineering	primary	no		16.6	DRAFT — Awaiting your review	2026-05-26		Experiment Management Architecture: Analysis & Recommendation	repos/cytognosis/docs/04-Engineering/cytos/experiment-management-architecture.md
docs	04-Engineering	engineering	primary	no		10.7				Cytos Pipeline Automation	repos/cytognosis/docs/04-Engineering/cytos/02_pipeline_automation.md
docs	04-Engineering	engineering	primary	no		47.2				Experiment Orchestration: Definition, Execution, and Provenance	repos/cytognosis/docs/04-Engineering/cytos/experiment-orchestration-research.md
docs	04-Engineering	module-spec	primary	no		6.0				Cytos Module Map	repos/cytognosis/docs/04-Engineering/cytos/module-map.md
docs	04-Engineering	engineering	primary	no		14.5				Cytos Foundation-Model Architecture	repos/cytognosis/docs/04-Engineering/cytos/04_foundation_model_architecture.md
docs	04-Engineering	engineering	primary	no		17.3				Cytos Platform — Complete Agent Handoff	repos/cytognosis/docs/04-Engineering/cytos/handoff.md
docs	04-Engineering	engineering	primary	no		14.3	DRAFT — Needs review before implementation	2026-05-26		Data Lifecycle Architecture	repos/cytognosis/docs/04-Engineering/cytos/data-lifecycle-architecture.md
docs	04-Engineering	engineering	primary	no		6.6				Brain Atlas Infrastructure	repos/cytognosis/docs/04-Engineering/cytos/brain-atlas.md
docs	04-Engineering	engineering	primary	no		57.1				Cytos Package Design	repos/cytognosis/docs/04-Engineering/cytos/01_cytos_package_design.md
docs	04-Engineering	engineering	primary	no		7.2				Specialized Data Stores	repos/cytognosis/docs/04-Engineering/cytos/data-stores.md
docs	04-Engineering	engineering	primary	no		9.6				Cytos System Architecture	repos/cytognosis/docs/04-Engineering/cytos/architecture.md
docs	04-Engineering	engineering	primary	no		22.3	Active	2026-05-24	engineering, schemas, research, biotools, edam	biotoolsSchema, EDAM Ontology, and bio.tools Registry: Research Analysis	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/biotools-schema-edam-research.md
docs	04-Engineering	engineering	primary	no		17.9				SSSOM Tooling for the Cytognosis Scholarly KG	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/sssom-tooling.md
docs	04-Engineering	engineering	primary	no		22.4				Skill-Tagging Ontologies — Recommendation	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/tagging-ontology.md
docs	04-Engineering	readme	primary	no		9.3				LinkML + KG Playbook for Cytognosis	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/README.md
docs	04-Engineering	engineering	primary	no		4.5				00 — Environment Setup	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/00_setup.md
docs	04-Engineering	engineering	primary	no		27.5				06 — BioThings: APIs, biothings_schema.py, and the Data Discovery Engine	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/06_biothings.md
docs	04-Engineering	engineering	primary	no		9.7				02 — The Schema Landscape	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/02_schema_landscape.md
docs	04-Engineering	engineering	primary	no		8.9				18 — Harmonizing AnnData to CELLxGENE Compliance	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/18_anndata_harmonization.md
docs	04-Engineering	engineering	primary	no		8.0				09 — CZI CELLxGENE Schema → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/09_cellxgene_to_linkml.md
docs	04-Engineering	engineering	primary	no		13.8				10 — HDMF and NWB: schema-driven hierarchical scientific data	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/10_hdmf_nwb.md
docs	04-Engineering	engineering	primary	no		5.6				04 — Biolink Model and Other Key LinkML Schemas	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/04_biolink_and_core_schemas.md
docs	04-Engineering	engineering	primary	no		7.4				11 — Open Targets Platform Schemas → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/11_open_targets_to_linkml.md
docs	04-Engineering	engineering	primary	no		12.6				19 — LLMs and RAG over the Cytognosis KG	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/19_llm_rag_for_biology.md
docs	04-Engineering	engineering	primary	no		6.7				13 — Organize and Visualize Your Schemas	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/13_organize_and_visualize.md
docs	04-Engineering	engineering	primary	no		9.3				21 — Appendix: cheat sheets, common errors, and links	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/21_appendix.md
docs	04-Engineering	engineering	primary	no		18.6				15 — BioCypher: schema-driven KG ingestion	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/15_biocypher.md
docs	04-Engineering	engineering	primary	no		18.0				07 — GA4GH: VRS, VA, Phenopackets, Pedigree, Beacon → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/07_ga4gh.md
docs	04-Engineering	engineering	primary	no		15.2				05 — UMLS and SNOMED CT	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/05_umls_snomed.md
docs	04-Engineering	engineering	primary	no		7.1				14 — OLS4 SSSOM: SnomedCT End-to-End	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/14_sssom_snomed_workflow.md
docs	04-Engineering	engineering	primary	no		5.5				08 — SOSA / SSN → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/08_sosa_ssn_to_linkml.md
docs	04-Engineering	engineering	primary	no		15.9				16 — Koza and the Monarch Initiative Ecosystem	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/16_koza_and_monarch.md
docs	04-Engineering	engineering	primary	no		6.2				01 — LinkML in an Hour	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/01_linkml_in_an_hour.md
docs	04-Engineering	engineering	primary	no		14.2				17 — BioCypher vs Monarch (Koza): a side-by-side ingest comparison	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/17_biocypher_vs_monarch.md
docs	04-Engineering	engineering	primary	no		15.6				20 — Structured Extraction with Schemas and Ontologies	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/20_structured_extraction.md
docs	04-Engineering	engineering	primary	no		8.8				12 — OpenAlex and BibTeX → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/12_openalex_bibtex_to_linkml.md
docs	04-Engineering	engineering	primary	no		9.1				03 — schema.org and Bioschemas → LinkML	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/03_jsonld_to_linkml.md
docs	04-Engineering	code	primary	no		3.1					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/bin/download_schemas.sh
docs	04-Engineering	code	primary	no		1.4					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/linkml-playbook/bin/setup_env.sh
docs	04-Engineering	config/schema	primary	no		79.9					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/schemas/scholarly-kg-v0.4.0.yaml
docs	04-Engineering	config/schema	primary	no		10.7					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/datasets.yaml
docs	04-Engineering	config/schema	primary	no		11.5					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/relationships.yaml
docs	04-Engineering	config/schema	primary	no		8.5					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/research_objects.yaml
docs	04-Engineering	config/schema	primary	no		7.3					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/protocols.yaml
docs	04-Engineering	config/schema	primary	no		18.7					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/papers.yaml
docs	04-Engineering	config/schema	primary	no		10.2					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/workflows.yaml
docs	04-Engineering	config/schema	primary	no		13.4					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/models.yaml
docs	04-Engineering	config/schema	primary	no		8.2					repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/resource-schemas/code.yaml
docs	04-Engineering	engineering	primary	no		18.3				CodeMeta & CFF Field Examples and Technical Reference	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/codemeta-field-examples.md
docs	04-Engineering	engineering	primary	no		20.2				Research Software Metadata Standards - Comprehensive Analysis	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/research-software-metadata-standards.md
docs	04-Engineering	engineering	primary	no		15.0				Complete Index - Research Software Metadata Standards	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/index.md
docs	04-Engineering	engineering	primary	no		12.4				Quick Reference: Research Software Metadata Standards	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/quick-reference.md
docs	04-Engineering	engineering	primary	no		12.7				Research Summary: Software Metadata Standards Analysis	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/research-summary.md
docs	04-Engineering	engineering	primary	no		26.2				LinkML Schema Field Inventory for CodeRepository & Software	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/linkml-software-schema-fields.md
docs	04-Engineering	engineering	primary	no		14.5				Research Software Metadata Standards Documentation	repos/cytognosis/docs/04-Engineering/cytos/schemas-ontologies/software-metadata/readme.md
docs	04-Engineering	engineering	primary	no		25.6				Interop: How Models, Sensors, and Data Compose into a Matchable System	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/interop-standards.md
docs	04-Engineering	engineering	primary	no		15.9	v0.1 (Design Specification)	2026-05-17		Cytonome Universal Sensor Architecture	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/sensor-architecture.md
docs	04-Engineering	engineering	primary	no		23.9	v1.0 (Consolidated from unified-sensor-report, sensor-architecture, archive research)	2026-05-31		Cytonome Universal Sensor Reference	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/unified-sensor-report.md
docs	04-Engineering	engineering	primary	no		18.1				The Human Body as Reference: HRA, HuBMAP, and the Spatial Scaffold	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/human-body-systems.md
docs	04-Engineering	engineering	primary	no		16.6				Data: Storage, Format, and Metadata Mapping	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/data-formats.md
docs	04-Engineering	engineering	primary	no		34.5				Sensors and Phenotypic Assays: Schemas, Frameworks, and Ontologies	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/sensor-taxonomy.md
docs	04-Engineering	engineering	primary	no		18.1	v1.0	2026-05-31		Semantic Alignment Specification: SOSA/SSN · IEEE 1752 · FHIR · AWARE	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/semantic-alignment.md
docs	04-Engineering	engineering	primary	no		175.0				Schema	repos/cytognosis/docs/04-Engineering/cytos/sensing-schema/datatypes/omics/czi-single-cell-curation-schema.md
docs	04-Engineering	adr	primary	no		3.8	Accepted	2026-05-14	data-source, api, schema, scholarly	ADR-001: Multi-Source Author Identity Pipeline with Tiered API Strategy	repos/cytognosis/docs/04-Engineering/cytos/adrs/ADR-001-tiered-author-identity-api-strategy.md
docs	04-Engineering	engineering	primary	no		5.7				Data Lake Inventory	repos/cytognosis/docs/04-Engineering/cytos/data-lake/INVENTORY.md
docs	04-Engineering	engineering	primary	no		3.9				Neo4j — GenomeKG Graph Database	repos/cytognosis/docs/04-Engineering/cytos/databases/NEO4J.md
docs	04-Engineering	engineering	primary	no		3.9				SurrealDB — Status and Known Issues	repos/cytognosis/docs/04-Engineering/cytos/databases/SURREALDB.md
docs	04-Engineering	readme	archive	no		0.9				_archive — superseded Cytos engineering docs	repos/cytognosis/docs/04-Engineering/cytos/_archive/README.md
docs	04-Engineering	config/schema	archive	no		78.6					repos/cytognosis/docs/04-Engineering/cytos/_archive/scholarly-kg.yaml
docs	04-Engineering	architecture	archive	no		6.3				Cytos Architecture Overview	repos/cytognosis/docs/04-Engineering/cytos/_archive/architecture-overview-v2.md
docs	04-Engineering	architecture	archive	no		6.3				Cytos Architecture Overview	repos/cytognosis/docs/04-Engineering/cytos/_archive/architecture-overview.md
docs	04-Engineering	module-spec	archive	no		6.3				Cytos Module Map	repos/cytognosis/docs/04-Engineering/cytos/_archive/module-map-v2.md
docs	04-Engineering	engineering	primary	no		6.4				GenomeKG — What Was Built, Why, and How	repos/cytognosis/docs/04-Engineering/cytos/genomekg/GENOMEKG.md
docs	04-Engineering	engineering	primary	no		7.3				GenomeKG — Remaining Tasks	repos/cytognosis/docs/04-Engineering/cytos/genomekg/TASKS_REMAINING.md
docs	04-Engineering	engineering	primary	no		13.0	Active	2026-06-14	cli, cytoskills, cyto-skills, commands, reference	@cytognosis/cyto-skills-cli — CLI Package	repos/cytognosis/docs/04-Engineering/cytoskills/packages/cli/cli.md
