target_table,disease_name,mondo_id,cluster,rdoc_domain,rdoc_construct,rdoc_subconstruct,hitop_spectrum,hitop_subfactor,sign,magnitude,weight,n_sources,sources,evidence_note
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Social Processes,Perception and Understanding of Others,Understanding Mental States,,,-1,0.8,-0.800,2,Bora 2016 Acta Psychiatr Scand PMID:26714098; Mitchell & Young 2015 Schizophr Bull PMID:25759473,Theory of mind impairment well replicated.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Arousal and Regulatory Systems,Circadian Rhythms,,,,1,0.6,+0.600,1,Salvatore 2008 Curr Psychiatry Rep PMID:19035086,Circadian disruption during mood episodes especially manic phases.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,1,0.8,+0.800,2,Cohrs 2008 CNS Drugs PMID:18840034; Harvey 2008 Am J Psychiatry PMID:18838485,Insomnia/sleep disturbance present in both psychotic and mood phases; disturbance increases.
RDoC,Schizoaffective disorder,MONDO:0005220,A_psychotic,Sensorimotor Systems,Motor Actions,Initiation,,,-1,0.55,-0.550,1,Walther & Strik 2012 Neuropsychobiology PMID:22156481,Psychomotor slowing during depressive/negative-symptom states; less studied.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.85,-0.850,3,Juckel 2006 Neuroimage PMID:16414282; Radua 2015 JAMA Psychiatry PMID:26580632; Zeng 2022 PMID:36305919,Blunted ventral striatal activation during reward anticipation is a replicated meta-analytic finding.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.5,-0.500,2,Strauss 2014 Schizophr Bull PMID:24375456; Kring & Barch 2014 Eur Neuropsychopharmacol PMID:24314850,Consummatory hedonic response relatively preserved but reduced in some studies; smaller effect than anticipatory.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Positive Valence Systems,Reward Learning,Reward Prediction Error,,,-1,0.75,-0.750,2,Murray 2008 Mol Psychiatry PMID:17389902; Deserno 2013 Front Hum Neurosci PMID:23596407,Aberrant striatal RPE signaling; reduced ventral-striatal prediction error coding.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Positive Valence Systems,Reward Valuation,Effort,,,-1,0.8,-0.800,2,Gold 2013 Biol Psychiatry PMID:23628460; Culbreth 2018 J Abnorm Psychol PMID:29553742,Effort-based decision-making deficits; reduced willingness to expend effort for reward.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Attention,,,,-1,0.9,-0.900,3,Heinrichs & Zakzanis 1998 Neuropsychology PMID:9756599; Fioravanti 2005 Neuropsychol Rev PMID:16021502; Mesholam-Gately 2009 Neuropsychology PMID:19413446,Sustained and selective attention deficits with large effect sizes (d≈0.9-1.2) replicated across meta-analyses.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Perception,Visual Perception,,,-1,0.55,-0.550,2,Silverstein 2015 PMID:26462891; King 2017 Schizophr Bull PMID:22874625,Reduced contrast sensitivity and visuoperceptual organization deficits; mixed with occasional visual hallucinations but deficit predominates.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Perception,Auditory Perception,,,1,0.95,+0.950,3,Waters 2014 Schizophr Bull PMID:24936087; Erickson 2016 Schizophr Bull PMID:27174389; Jardri 2016 Schizophr Bull PMID:27031091,Auditory verbal hallucinations are a core positive symptom occurring in ~70% of patients; meta-analyzed aberrant percepts represent gain/release phenomena.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Declarative Memory,,,,-1,0.95,-0.950,3,Heinrichs & Zakzanis 1998 Neuropsychology PMID:9756599; Aleman 1999 Arch Gen Psychiatry PMID:10591291; Mesholam-Gately 2009 Neuropsychology PMID:19413446,Verbal and visual declarative memory deficits with large effect sizes (d≈1.0-1.4); among largest neurocognitive impairments.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Language,,,,-1,0.7,-0.700,2,Kuperberg 2010 Lang Linguist Compass PMID:20936080; Hinzen & Rosselló 2015 Front Psychol PMID:26217256,Formal thought disorder reflects semantic/syntactic processing deficits; both production (loosening) and reception affected. Net loss of coherence.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Cognitive Control,"Goal Selection; Updating, Representation, and Maintenance",,,-1,0.9,-0.900,3,Lesh 2011 Neuropsychopharmacology PMID:20844478; Minzenberg 2009 Arch Gen Psychiatry PMID:19581561; Barch & Ceaser 2012 Trends Cogn Sci PMID:22245618,Prefrontal cognitive control deficits with reduced DLPFC activation; meta-analyzed across multiple control paradigms.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Cognitive Control,Response Selection; Inhibition/Suppression,,,-1,0.7,-0.700,2,Lipszyc & Schachar 2010 J Int Neuropsychol Soc PMID:20663226; Westerhausen 2011 Eur Arch Psychiatry Clin Neurosci PMID:21188405,Stop-signal and Stroop performance impaired; moderate effect sizes.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Cognitive Control,Performance Monitoring,,,-1,0.75,-0.750,2,Minzenberg 2009 Arch Gen Psychiatry PMID:19581561; Kerns 2008 Schizophr Bull PMID:18689868,Reduced error-related negativity and ACC activation during error monitoring.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Working Memory,Active Maintenance,,,-1,0.95,-0.950,3,Lee & Park 2005 J Abnorm Psychol PMID:16351383; Forbes 2009 Psychol Med PMID:18606047; Park & Gooding 2014 Schizophr Bull PMID:24375457,Robust deficits in active maintenance of working memory across verbal/spatial/object domains; d≈0.8-1.0.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Working Memory,Flexible Updating,,,-1,0.75,-0.750,2,Lee & Park 2005 J Abnorm Psychol PMID:16351383; Forbes 2009 Psychol Med PMID:18606047,Updating deficits demonstrated on n-back and related paradigms.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Cognitive Systems,Working Memory,Limited Capacity,,,-1,0.8,-0.800,2,Lee & Park 2005 J Abnorm Psychol PMID:16351383; Gold 2010 Biol Psychiatry PMID:20060098,Reduced capacity (K) on change-detection tasks.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Affiliation and Attachment,,,,-1,0.75,-0.750,2,Fulford 2018 Schizophr Bull PMID:29036391; Gard 2014 Schizophr Res PMID:24508403,Reduced social motivation and affiliative drive; correlated with negative symptoms.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Social Communication,Reception of Facial Communication,,,-1,0.85,-0.850,3,Kohler 2010 Schizophr Bull PMID:19880824; Savla 2013 Schizophr Bull PMID:22949733; Chan 2010 PMID:19944750,Facial emotion recognition impaired with medium-to-large effect (d≈0.9); among most replicated social cognition deficits.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Social Communication,Production of Facial Communication,,,-1,0.75,-0.750,2,Kring & Elis 2013 Annu Rev Clin Psychol PMID:23297787; Gur 2006 Schizophr Bull PMID:16936029,Blunted/flat affect with reduced expressive facial behavior; core negative symptom.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Social Communication,Reception of Non-Facial Communication,,,-1,0.7,-0.700,2,Hoekert 2007 Schizophr Res PMID:17400427; Savla 2013 Schizophr Bull PMID:22949733,Impaired prosody/vocal emotion recognition; medium effect.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Social Communication,Production of Non-Facial Communication,,,-1,0.65,-0.650,2,Cohen & Elvevåg 2014 Curr Opin Psychiatry PMID:24613983; Alpert 2002 J Psychiatr Res PMID:11992284,Reduced prosodic variation and vocal expressivity (alogia/affective flattening).
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Perception and Understanding of Self,Agency,,,1,0.75,+0.750,3,Frith 2005 Conscious Cogn PMID:16157488; Voss 2010 Brain PMID:20826435; Hauser 2011 Schizophr Bull PMID:21425792,Aberrant sense of agency manifests as delusions of control/passivity (gain of misattributed agency to external sources); represents released/misattributed signal.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Perception and Understanding of Self,Self-Knowledge,,,-1,0.6,-0.600,2,Sass & Parnas 2003 Schizophr Bull PMID:14609241; Nelson 2014 Schizophr Bull PMID:23798714,Disturbances of basic/minimal self (ipseity); loss of stable self-coherence.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Perception and Understanding of Others,Animacy Perception,,,1,0.45,+0.450,2,Tschacher 2017 PMID:28258229; Koelkebeck 2010 Schizophr Res PMID:20451354,Aberrant attribution of intent/animacy to ambiguous stimuli (hyper-mentalizing in paranoia); gain-of-signal.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Social Processes,Perception and Understanding of Others,Understanding Mental States,,,-1,0.95,-0.950,3,Sprong 2007 Br J Psychiatry PMID:17470949; Bora 2009 Schizophr Res PMID:19181486; Savla 2013 Schizophr Bull PMID:22949733,Theory of mind / mentalizing deficits with large effect (d≈1.0); robust meta-analyzed finding.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Arousal and Regulatory Systems,Arousal,,,,1,0.55,+0.550,2,Williams 2004 Am J Psychiatry PMID:14982685; Hubl 2007 Neurosci Lett PMID:17574330,"Tonic hyperarousal during acute psychosis (increased autonomic arousal, startle); but blunted phasic response. Dominant direction: hyperarousal in active phase."
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Arousal and Regulatory Systems,Circadian Rhythms,,,,1,0.65,+0.650,2,Wulff 2012 Br J Psychiatry PMID:22887999; Bromundt 2011 Br J Psychiatry PMID:21303839,"Circadian rhythm disruption: phase shifts, irregular activity patterns; disturbance as positive deviation."
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,1,0.8,+0.800,2,Cohrs 2008 CNS Drugs PMID:18840034; Chan 2017 Sleep Med Rev PMID:27416139,"Insomnia, reduced sleep efficiency, fragmented sleep prominent. Sleep disturbance is gain-direction (disturbed)."
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Sensorimotor Systems,Motor Actions,Initiation,,,-1,0.7,-0.700,2,Morrens 2007 Schizophr Bull PMID:17071786; Walther & Strik 2012 Neuropsychobiology PMID:22156481,Psychomotor slowing and reduced movement initiation; core negative symptom.
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Sensorimotor Systems,Motor Actions,Execution,,,-1,0.65,-0.650,2,Morrens 2007 Schizophr Bull PMID:17071786; Walther 2017 Schizophr Bull PMID:28338831,"Slowed motor execution, fine motor deficits."
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Sensorimotor Systems,Agency and Ownership,,,,1,0.65,+0.650,2,Voss 2010 Brain PMID:20826435; Frith 2005 Conscious Cogn PMID:16157488,"Disturbed sense of motor agency, made-actions; gain of misattribution."
RDoC,Schizophrenia,MONDO:0005090,A_psychotic,Sensorimotor Systems,Innate Motor Patterns,,,,1,0.55,+0.550,2,Pappa & Dazzan 2009 Psychol Med PMID:19006510; Kindler 2016 Schizophr Bull PMID:26303934,"Neurological soft signs, dyskinesias, stereotypies present in unmedicated/first-episode patients (gain-of-movement)."
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Negative Valence Systems,Loss,,,,1,0.75,+0.750,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Depressive phase: sustained sadness/loss-content rumination paralleling MDD.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Negative Valence Systems,Frustrative Nonreward,,,,1,0.7,+0.700,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Manic phase: irritability and anger upon thwarting are DSM-5 mania criteria; reflects elevated frustrative-nonreward reactivity.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,1,0.85,+0.850,3,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Nusslock 2014 Front Psychiatry PMID:25415499; Alloy 2015 J Affect Disord PMID:25581235,Manic phase: elevated ventral striatum reactivity to reward cues; reward-hypersensitivity model of bipolar mood elevation (BAS hyperactivation).
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.7,-0.700,2,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,"Depressive phase: ventral striatal hypoactivation to reward anticipation, mirroring MDD profile; anhedonia symptom in bipolar depression."
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,1,0.75,+0.750,2,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Alloy 2015 J Affect Disord PMID:25581235,Manic phase: heightened hedonic and outcome-related striatal response; euphoria/elevated mood reflects elevated reward consummation signaling.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.65,-0.650,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Depressive phase: blunted hedonic/consummatory reward response; bipolar depression overlaps with MDD in reward receipt deficits.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Valuation,Delay,,,-1,0.65,-0.650,1,Amlung 2019 JAMA Psychiatry PMID:31461131,Meta-analyzed steeper delay discounting in bipolar disorder (impulsive valuation; small-to-moderate effect).
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Positive Valence Systems,Reward Valuation,Effort,,,1,0.55,+0.550,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Manic phase: increased willingness to exert effort for reward and increased goal pursuit; aligns with elevated phasic DA signaling.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Cognitive Systems,Attention,,,,-1,0.7,-0.700,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Meta-analyzed sustained attention deficits in euthymic bipolar; trait-like impairment.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Cognitive Systems,Declarative Memory,,,,-1,0.75,-0.750,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Meta-analyzed verbal declarative memory deficits — among the largest cognitive impairments in bipolar I.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Cognitive Systems,Cognitive Control,,,,-1,0.75,-0.750,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Meta-analyzed executive function deficits persist in euthymic bipolar I (individual-patient meta-analysis); large effect sizes for set-shifting and inhibition.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Cognitive Systems,Working Memory,,,,-1,0.7,-0.700,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Meta-analyzed working memory deficits in euthymic adults and pediatric bipolar I (medium-large effect sizes).
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Social Processes,Affiliation and Attachment,,,,1,0.55,+0.550,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Manic phase: heightened social engagement/talkativeness and reduced social inhibition (excessive approach behaviors); DSM-5 criterion B.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Social Processes,Social Communication,Reception of Facial Communication,,,-1,0.6,-0.600,1,Rocca 2009 PMID:22211280,"Meta-analyzed facial emotion recognition impairment in bipolar disorder across euthymic, manic and depressive states (moderate effect)."
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Arousal and Regulatory Systems,Arousal,,,,1,0.75,+0.750,2,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Soehner 2023 PMID:37230386,"Manic phase: heightened arousal, increased energy/activity (DSM-5 mania criterion A) — elevated arousal tone."
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Arousal and Regulatory Systems,Circadian Rhythms,,,,1,0.65,+0.650,2,Soehner 2023 PMID:37230386; Alloy 2023 PMID:37592214,"Circadian rhythm disruption (advanced phase, irregular sleep-wake patterns) precedes and predicts mania; abnormal circadian timekeeping."
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,-1,0.85,-0.850,1,Soehner 2023 PMID:37230386,Manic phase: decreased need for sleep is a DSM-5 mania criterion B1 — reduced sleep amount/duration; loss-direction on Sleep-Wakefulness.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Sensorimotor Systems,Motor Actions,Initiation,,,1,0.8,+0.800,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Manic phase: psychomotor agitation/increase in goal-directed activity is DSM-5 mania criterion B6 — elevated motor initiation rate.
RDoC,Bipolar I disorder,MONDO:0004985,B_mood,Sensorimotor Systems,Motor Actions,Inhibition and Termination,,,-1,0.65,-0.650,1,Amlung 2019 JAMA Psychiatry PMID:31461131,Reduced motor/response inhibition (impulsivity) is trait-like in bipolar I; meta-analyzed steeper delay discounting parallels impulsive action.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Negative Valence Systems,Sustained Threat,,,,1,0.6,+0.600,1,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Depressive phase: chronic dysphoria and stress reactivity overlap with MDD.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Negative Valence Systems,Loss,,,,1,0.75,+0.750,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Depressive phase: sustained sadness and loss-content rumination; depressive episodes often more frequent and chronic than in bipolar I.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Negative Valence Systems,Frustrative Nonreward,,,,1,0.55,+0.550,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Hypomanic phase: irritability can be a feature (DSM-5 hypomania criterion A); generally lower magnitude than full mania.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,1,0.7,+0.700,2,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Alloy 2015 J Affect Disord PMID:25581235,Hypomanic phase: elevated striatal reactivity to reward cues — lower magnitude than full mania but consistent with BAS-hypersensitivity model.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.75,-0.750,2,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606,Depressive phase: bipolar II depression is often more chronic than bipolar I; reward anticipation hypoactivation mirroring MDD profile.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,1,0.6,+0.600,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Hypomanic phase: elevated hedonic reactivity (subthreshold to mania); positive mood elevation.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Positive Valence Systems,Reward Responsiveness,Initial Response to Reward,,,-1,0.65,-0.650,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Depressive phase: blunted hedonic reactivity in bipolar II depression.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Positive Valence Systems,Reward Valuation,Delay,,,-1,0.55,-0.550,1,Amlung 2019 JAMA Psychiatry PMID:31461131,Steeper delay discounting in bipolar spectrum disorders; effect somewhat smaller in bipolar II than bipolar I.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Cognitive Systems,Attention,,,,-1,0.6,-0.600,1,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133,Sustained attention deficits in bipolar II; moderate trait-like impairment.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Cognitive Systems,Declarative Memory,,,,-1,0.65,-0.650,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Verbal declarative memory deficits in bipolar II; moderate effect size.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Cognitive Systems,Cognitive Control,,,,-1,0.65,-0.650,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,Meta-analyzed executive function deficits in bipolar II — slightly smaller than bipolar I but present in euthymic state.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Cognitive Systems,Working Memory,,,,-1,0.6,-0.600,2,Bourne 2013 Acta Psychiatr Scand PMID:23617548 doi:10.1111/acps.12133; Elias 2017 PMID:28335872,"Working memory deficits in bipolar II; moderate effect size, slightly less severe than bipolar I."
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Social Processes,Affiliation and Attachment,,,,1,0.45,+0.450,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Hypomanic phase: increased sociability/talkativeness (DSM-5 hypomania criterion B); smaller than mania.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Arousal and Regulatory Systems,Arousal,,,,1,0.65,+0.650,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Hypomanic phase: increased energy/activity (DSM-5 hypomania criterion A); lower-magnitude arousal elevation than mania.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Arousal and Regulatory Systems,Circadian Rhythms,,,,1,0.6,+0.600,2,Soehner 2023 PMID:37230386; Alloy 2023 PMID:37592214,Circadian rhythm disruption is characteristic of bipolar spectrum disorders including bipolar II; predicts hypomanic episode onset.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Arousal and Regulatory Systems,Sleep-Wakefulness,,,,-1,0.75,-0.750,1,Soehner 2023 PMID:37230386,Hypomanic phase: decreased need for sleep is DSM-5 hypomania criterion B1; sleep loss is a robust feature of hypomania.
RDoC,Bipolar II disorder,MONDO:0008996,B_mood,Sensorimotor Systems,Motor Actions,Initiation,,,1,0.65,+0.650,1,Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122,Hypomanic phase: increased goal-directed activity (DSM-5 hypomania criterion B6); moderate magnitude.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Negative Valence Systems,Sustained Threat,,,,1,0.65,+0.650,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Kotov 2021 Annu Rev Clin Psychol PMID:33577350 doi:10.1146/annurev-clinpsy-081219-093304,"Chronic stress reactivity, hopelessness, and worry contribute to MDD; sustained activation of stress/HPA systems modeled as elevated sustained threat tone."
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Negative Valence Systems,Loss,,,,1,0.85,+0.850,2,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Kotov 2021 Annu Rev Clin Psychol PMID:33577350 doi:10.1146/annurev-clinpsy-081219-093304,Sustained sadness/grief and rumination over loss are diagnostic features (DSM-5 criterion A); excess negative-loss-content cognition.
RDoC,Major depressive disorder,MONDO:0002009,B_mood,Positive Valence Systems,Reward Responsiveness,Reward Anticipation,,,-1,0.9,-0.900,4,Pizzagalli 2014 Annu Rev Clin Psychol PMID:24471371 doi:10.1146/annurev-clinpsy-050212-185606; Whitton 2015 Curr Opin Psychiatry PMID:25415499 doi:10.1097/YCO.0000000000000122; Bore 2024 Psychol Med PMID:37997708 doi:10.1017/S0033291723003410; Zhang 2016 Brain Imaging Behav PMID:26487590 doi:10.1007/s11682-015-9457-6,Meta-analyzed: blunted ventral striatum BOLD during reward anticipation in MDD; core feature of anhedonia (motivational/'wanting' deficit).
