Domain,Construct,Subconstruct,Internalizing,Internalizing,Disinhibited Externalizing,Disinhibited Externalizing,Disinhibited Externalizing,Antagonistic Externalizing,Antagonistic Externalizing,Thought Disorder,Detachment,Somatoform
Arousal and Regulatory Systems,Sleep-Wakefulness,,0,-0.935,-0.660,-0.600,0,0,0,0,0,0
Sensorimotor Systems,Motor Actions,,0,-0.722,0,0,0,0,0,-0.722,0,0
Sensorimotor Systems,Motor Actions,Action Planning and Selection,0,0,0,0,0,0,0,-0.510,0,0
Sensorimotor Systems,Motor Actions,Sensorimotor Dynamics,0,0,0,0,0,0,0,-0.510,0,0
Sensorimotor Systems,Motor Actions,Initiation,0,-0.510,0,0,0,0,0,-0.510,0,0
Sensorimotor Systems,Motor Actions,Execution,0,0,0,0,0,0,0,-0.722,0,0
Sensorimotor Systems,Motor Actions,Inhibition and Termination,0,0,0,-0.510,-0.722,0,0,-0.510,0,0
Sensorimotor Systems,Agency and Ownership,,0,0,0,0,0,0,0,-0.722,-0.510,-0.510
Sensorimotor Systems,Habit - Sensorimotor,,0,0,+0.510,0,+0.297,0,0,0,0,0
Sensorimotor Systems,Innate Motor Patterns,,0,0,0,0,0,0,0,-0.297,0,0
